row_ids,col2,col3,col4,col5,col6,col7,col8,col9,col10,col1,col11,col13,col14,col15,col16,col17,col18,col19,col20,col12,col21
row1,0,1,3,5,2,2,2,0,3,3,3,0,1,2,5,1,1,0,2,5,3
row6,2,0,4,5,2,0,1,4,4,1,4,3,3,3,3,4,2,5,2,0,2
row2,1,0,1,0,4,1,5,4,4,0,3,3,3,4,2,0,2,1,1,0,5
row3,1,1,5,4,3,5,0,0,2,1,2,4,3,4,1,1,3,1,4,2,1
row4,2,1,0,4,1,0,2,2,1,2,0,3,2,4,1,1,4,0,4,4,1
row5,3,2,3,3,2,2,4,3,3,4,4,4,3,5,4,2,0,3,0,3,2
row7,3,4,3,1,0,4,1,4,1,5,5,1,0,2,1,1,3,1,0,2,3
row8,4,5,0,4,2,2,1,4,5,5,0,3,1,2,5,4,2,4,5,1,3
row9,1,1,4,1,1,0,4,1,2,0,4,4,0,3,5,3,0,3,3,0,4
row11,4,2,3,3,3,2,1,5,2,1,1,1,0,3,2,2,5,3,4,3,3
row12,4,4,1,3,0,4,3,5,3,4,1,3,3,0,0,5,0,2,3,4,0
row10,5,2,0,4,2,1,1,2,5,3,2,4,5,1,3,3,1,2,1,4,0
