CountryCode	10000m Men	100m Men	110m Hurdles Men	1500m Men	200m Men	3000m Steeplechase Men	400m Hurdles Men	400m Men	4x100m Relay Men	4x400m Relay Men	5000m Men	800m Men	Marathon Men	Double Sculls Men	Eights Men	Single Sculls Men	100m Backstroke Men	100m Freestyle Men	100m Freestyle Women	1500m Freestyle Men	200m Breaststroke Men	400m Freestyle Men	4x100m Freestyle Relay Women	4x200m Freestyle Relay Men
USA	0	2	2	1	2	1	3	0	1	0	0	1	0	1	1	1	2	3	3	1	0	2	1	1
GBR	1	1	0	2	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1
SWE	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0
FRA	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
FIN	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
SAF	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KIT	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
AUS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
EST	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NZL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
